model,Accuracy,Precision,Recall,F1,AUC,KS,PSI
RandomForest,0.7666868932038835,0.41688654353562005,0.49144634525660963,0.4511063526052819,0.7680878890003334,0.4260255270156911,1.082419548886987
XGBoost,0.7851941747572816,0.4444444444444444,0.40435458786936235,0.4234527687296417,0.7472393997464064,0.3847769976651333,2.6717151318366583
LightGBM,0.774878640776699,0.41509433962264153,0.37636080870917576,0.39477977161500816,0.746839312753132,0.3873885545223313,2.8812684480831665
GradientBoosting,0.7760922330097088,0.4268104776579353,0.4307931570762053,0.42879256965944273,0.7441116867022807,0.38605610362751397,2.4400180330810435
HistGradientBoosting,0.777002427184466,0.42333333333333334,0.39502332814930013,0.4086886564762671,0.7401357306116085,0.3796986773387796,2.8392534755847403
DecisionTree,0.7493932038834952,0.3781624500665779,0.4416796267496112,0.40746054519368724,0.7099770851273742,0.35298693518121743,0.25517405588488173
LogisticRegression_L1,0.7557645631067961,0.39900249376558605,0.4976671850699845,0.4429065743944637,0.709234945737652,0.33440179520352853,0.3471748484077944
LogisticRegression,0.7566747572815534,0.4002509410288582,0.49611197511664074,0.44305555555555554,0.7088509794657183,0.33284072316969726,0.34847577780979555
