model,Accuracy,Precision,Recall,F1,AUC,AP,KS,PSI
RandomForest,0.7666868932038835,0.41688654353562005,0.49144634525660963,0.4511063526052819,0.7680878890003334,0.4183579832774768,0.4260255270156911,0.023851396083325482
XGBoost,0.7851941747572816,0.4444444444444444,0.40435458786936235,0.4234527687296417,0.7472393997464064,0.39799556855182455,0.3847769976651333,0.003904713971337059
LightGBM,0.774878640776699,0.41509433962264153,0.37636080870917576,0.39477977161500816,0.746839312753132,0.3954713275439016,0.3873885545223313,0.015531847901237256
GradientBoosting,0.7760922330097088,0.4268104776579353,0.4307931570762053,0.42879256965944273,0.7441116867022807,0.4024324579527611,0.38605610362751397,0.005320596481551586
HistGradientBoosting,0.777002427184466,0.42333333333333334,0.39502332814930013,0.4086886564762671,0.7401357306116085,0.3892242819144343,0.3796986773387796,0.008924803940683599
DecisionTree,0.7493932038834952,0.3781624500665779,0.4416796267496112,0.40746054519368724,0.7099770851273742,0.33627954138979915,0.35298693518121743,0.001884417024946499
LogisticRegression_L1,0.7557645631067961,0.39900249376558605,0.4976671850699845,0.4429065743944637,0.709234945737652,0.3798945702048996,0.33440179520352853,0.004213085327617975
LogisticRegression,0.7566747572815534,0.4002509410288582,0.49611197511664074,0.44305555555555554,0.7088509794657183,0.3796237674299241,0.33284072316969726,0.004246371272451184
