model,optimize_metric,best_threshold,train_Accuracy,train_Precision,train_Recall,train_F1,train_KS_at_threshold,test_Accuracy,test_Precision,test_Recall,test_F1,test_KS_at_threshold
XGBoost,ks,0.27,0.7310793237971391,0.4072013093289689,0.8287808127914723,0.5460930640913082,0.5361648813001167,0.685376213592233,0.3479938271604938,0.7013996889580093,0.46518824136152653,0.38289233878839
RandomForest,ks,0.44,0.8720416124837451,0.6265296133137542,0.8527648234510327,0.7223476297968398,0.7294815789850446,0.7402912621359223,0.39209726443769,0.6018662519440124,0.47484662576687114,0.3757071867348153
GradientBoosting,ks,0.34,0.7206762028608582,0.3849163998577019,0.7208527648234511,0.5018552875695733,0.44148614662988184,0.7041868932038835,0.358603066439523,0.6547433903576982,0.4634012107870116,0.3709137635201558
DecisionTree,ks,0.41,0.706371911573472,0.3658277206664303,0.6875416389073951,0.4775566867191115,0.39848040122764067,0.6969053398058253,0.34734133790737565,0.6298600311041991,0.44776119402985076,0.3430149500638674
HistGradientBoosting,ks,0.34,0.8501950585175553,0.5800826067003213,0.8421052631578947,0.6869565217391305,0.6942623159935709,0.7281553398058253,0.3713123092573754,0.567651632970451,0.4489544895448955,0.3347077958049779
LogisticRegression_L1,ks,0.42,0.7145643693107933,0.36262866191607285,0.6102598267821452,0.45492922771293764,0.35012087056950986,0.7135922330097088,0.3559808612440191,0.578538102643857,0.44075829383886256,0.3248630178342075
LogisticRegression,ks,0.42,0.7140442132639792,0.3622730860299921,0.6115922718187875,0.4550185873605948,0.35048385365753365,0.7138956310679612,0.3560460652591171,0.5769828926905132,0.4403560830860534,0.32406167143156106
LightGBM,ks,0.37,0.8821846553966189,0.6501766784452296,0.8580946035976016,0.7398047099368179,0.746121748532163,0.7412014563106796,0.38122171945701355,0.5241057542768274,0.44138834315651604,0.3179240731611093
